NewestMfoldSynthetic,Length
0.7728774547576904,60
0.7558138370513916,61
0.774468183517456,64
0.960073709487915,67
1.079235315322876,71
1.2282705307006836,76
1.5249254703521729,82
1.795546054840088,89
2.4748213291168213,97
3.318540096282959,106
4.136603116989136,115
6.189413547515869,126
8.353578090667725,138
11.453718423843384,150
15.3474760055542,164
21.868175506591797,178
30.673400163650513,193
43.51274824142456,209
58.31477999687195,226
83.35710096359253,245
113.09012126922607,263
151.0455300807953,283
202.60093688964844,304
274.98004937171936,326
350.7779452800751,349
459.76052594184875,372
612.2240750789642,397
813.1768007278442,422
1025.362235546112,448
1306.5141711235046,476
1681.6872375011444,504
2002.249172925949,533
2581.4539411067963,563
3155.571770429611,594
3877.4682881832123,626
4797.045050621033,659
5806.9359447956085,693
7052.84956407547,727
8939.546402215958,763
10308.665415287018,800
